user_id,user_location
1,Eilat
2,Tel Aviv
3,Eilat
4,Jerusalem
5,Kibuts Gesher
6,Tel Aviv
7,Tel Aviv
8,Haifa
9,Tel Aviv
10,Haifa
11,Kibuts Gesher
12,Tel Aviv
13,Tel Aviv
14,Jerusalem
15,Haifa
16,Kibuts Gesher
17,Jerusalem
18,Tel Aviv
19,Jerusalem
20,Jerusalem
21,Jerusalem
22,Eilat
23,Jerusalem
24,Haifa
25,Haifa
26,Eilat
27,Haifa
28,Jerusalem
29,Eilat
30,Tel Aviv
31,Haifa
32,Eilat
33,Eilat
34,Jerusalem
35,Tel Aviv
36,Jerusalem
37,Eilat
38,Jerusalem
39,Haifa
40,Tel Aviv
41,Tel Aviv
42,Jerusalem
43,Jerusalem
44,Tel Aviv
45,Eilat
46,Jerusalem
47,Eilat
48,Tel Aviv
49,Eilat
50,Eilat
51,Haifa
52,Tel Aviv
53,Jerusalem
54,Jerusalem
55,Jerusalem
56,Tel Aviv
57,Tel Aviv
58,Eilat
59,Haifa
60,Jerusalem
61,Eilat
62,Tel Aviv
63,Tel Aviv
64,Eilat
65,Haifa
66,Jerusalem
67,Kibuts Gesher
68,Jerusalem
69,Haifa
70,Haifa
71,Kibuts Gesher
72,Jerusalem
73,Kibuts Gesher
74,Jerusalem
75,Jerusalem
76,Eilat
77,Jerusalem
78,Jerusalem
79,Eilat
80,Jerusalem
81,Jerusalem
82,Jerusalem
83,Tel Aviv
84,Haifa
85,Haifa
86,Haifa
87,Kibuts Gesher
88,Eilat
89,Jerusalem
90,Jerusalem
91,Tel Aviv
92,Jerusalem
93,Tel Aviv
94,Jerusalem
95,Tel Aviv
96,Eilat
97,Haifa
98,Tel Aviv
99,Tel Aviv
100,Haifa
101,Eilat
102,Eilat
103,Eilat
104,Tel Aviv
105,Tel Aviv
106,Eilat
107,Jerusalem
108,Jerusalem
109,Tel Aviv
110,Haifa
111,Tel Aviv
112,Eilat
113,Jerusalem
114,Jerusalem
115,Kibuts Gesher
116,Jerusalem
117,Jerusalem
118,Haifa
119,Eilat
120,Tel Aviv
121,Haifa
122,Tel Aviv
123,Tel Aviv
124,Eilat
125,Haifa
126,Jerusalem
127,Haifa
128,Jerusalem
129,Eilat
130,Tel Aviv
131,Tel Aviv
132,Eilat
133,Kibuts Gesher
134,Haifa
135,Tel Aviv
136,Tel Aviv
137,Tel Aviv
138,Eilat
139,Jerusalem
140,Tel Aviv
141,Jerusalem
142,Tel Aviv
143,Haifa
144,Jerusalem
145,Eilat
146,Haifa
147,Jerusalem
148,Tel Aviv
149,Haifa
150,Eilat
151,Kibuts Gesher
152,Jerusalem
153,Haifa
154,Eilat
155,Haifa
156,Kibuts Gesher
157,Tel Aviv
158,Tel Aviv
159,Jerusalem
160,Kibuts Gesher
161,Tel Aviv
162,Jerusalem
163,Tel Aviv
164,Jerusalem
165,Haifa
166,Jerusalem
167,Haifa
168,Jerusalem
169,Haifa
170,Jerusalem
171,Eilat
172,Jerusalem
173,Eilat
174,Eilat
175,Haifa
176,Jerusalem
177,Tel Aviv
178,Tel Aviv
179,Kibuts Gesher
180,Kibuts Gesher
181,Tel Aviv
182,Tel Aviv
183,Jerusalem
184,Eilat
185,Jerusalem
186,Jerusalem
187,Kibuts Gesher
188,Jerusalem
189,Jerusalem
190,Tel Aviv
191,Eilat
192,Tel Aviv
193,Jerusalem
194,Tel Aviv
195,Jerusalem
196,Jerusalem
197,Jerusalem
198,Kibuts Gesher
199,Eilat
200,Jerusalem
201,Tel Aviv
202,Haifa
203,Tel Aviv
204,Jerusalem
205,Eilat
206,Jerusalem
207,Tel Aviv
208,Jerusalem
209,Haifa
210,Haifa
211,Jerusalem
212,Tel Aviv
213,Jerusalem
214,Jerusalem
215,Haifa
216,Jerusalem
217,Haifa
218,Haifa
219,Tel Aviv
220,Haifa
221,Haifa
222,Jerusalem
223,Eilat
224,Eilat
225,Haifa
226,Kibuts Gesher
227,Haifa
228,Haifa
229,Haifa
230,Jerusalem
231,Tel Aviv
232,Tel Aviv
233,Jerusalem
234,Haifa
235,Eilat
236,Tel Aviv
237,Eilat
238,Tel Aviv
239,Tel Aviv
240,Jerusalem
